Frecuencia (Hz)	Nivel (dB)
19359,375000	-95,326378
19406,250000	-95,036209
19453,125000	-94,500359
19500,000000	-94,122643
19546,875000	-94,063683
19593,750000	-93,568314
19640,625000	-93,345123
19687,500000	-93,341934
19734,375000	-93,729408
19781,250000	-93,938736
19828,125000	-94,053116
19875,000000	-93,999413
19921,875000	-93,740242
19968,750000	-93,955200
20015,625000	-94,137711
20062,500000	-94,468185
20109,375000	-94,818764
20156,250000	-95,814461
20203,125000	-97,851562
20250,000000	-100,883385
20296,875000	-105,187134
20343,750000	-109,310555
20390,625000	-115,760933
20437,500000	-122,112976
20484,375000	-127,020317
20531,250000	-132,431580
20578,125000	-137,905823
20625,000000	-139,799789
20671,875000	-142,710892
20718,750000	-144,625244
20765,625000	-145,913940
20812,500000	-147,625916
20859,375000	-147,902863
20906,250000	-146,611526
20953,125000	-145,428833
21000,000000	-146,395035
21046,875000	-147,020157
21093,750000	-144,978058
21140,625000	-143,155884
21187,500000	-145,013779
21234,375000	-144,952438
21281,250000	-145,563232
21328,125000	-142,517914
21375,000000	-139,863556
21421,875000	-142,743851
21468,750000	-144,670319
21515,625000	-143,301224
21562,500000	-142,693314
21609,375000	-141,044556
21656,250000	-139,013382
21703,125000	-137,561127
21750,000000	-136,472534
21796,875000	-135,671494
21843,750000	-136,108154
21890,625000	-137,165848
21937,500000	-140,585327
21984,375000	-142,172272
22031,250000	-145,369507
22078,125000	-147,495438
22125,000000	-145,085709
22171,875000	-146,837143
22218,750000	-150,284378
22265,625000	-149,158951
22312,500000	-148,371475
22359,375000	-148,867432
22406,250000	-146,456802
22453,125000	-143,939606
22500,000000	-144,830383
22546,875000	-145,116226
22593,750000	-146,252060
22640,625000	-148,663986
22687,500000	-147,094559
22734,375000	-143,569458
22781,250000	-141,800339
22828,125000	-142,769180
22875,000000	-144,362259
22921,875000	-146,709991
22968,750000	-147,524246
23015,625000	-146,967102
23062,500000	-144,818054
23109,375000	-144,818237
23156,250000	-142,840408
23203,125000	-137,865295
23250,000000	-137,102173
23296,875000	-138,429611
23343,750000	-140,504868
23390,625000	-141,323029
23437,500000	-138,799805
23484,375000	-137,822510
23531,250000	-140,014404
23578,125000	-142,318512
23625,000000	-143,150955
23671,875000	-144,312683
23718,750000	-143,837173
23765,625000	-143,737961
23812,500000	-144,861389
23859,375000	-148,424088
23906,250000	-147,290390
23953,125000	-145,723404
